address,year,sub_area
"пр-кт. Мира, д. 2003",1801,муниципальный округ Богородское
"ул. Лосиноостровская, д. 12/14",1917,муниципальный округ Богородское
"ул. Миллионная, д. 15, к. 3",1926,муниципальный округ Богородское
"ул. Миллионная, д. 15, к. 1",1929,муниципальный округ Богородское
"ул. Миллионная, д. 15, к. 2",1931,муниципальный округ Богородское
"проезд. Подбельского 4-й, д. 6",1938,муниципальный округ Богородское
"проезд. Подбельского 6-й, д. 8",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 8",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 6",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4",1939,муниципальный округ Богородское
"проезд. Подбельского 6-й, д. 10а",1939,муниципальный округ Богородское
"проезд. Подбельского 6-й, д. 10",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 8а",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 6а",1939,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 10/6",1939,муниципальный округ Богородское
"ул. Ивантеевская, д. 2, к. 1",1949,муниципальный округ Богородское
"ул. Ивантеевская, д. 2, к. 3",1950,муниципальный округ Богородское
"ул. Ивантеевская, д. 2, к. 2",1950,муниципальный округ Богородское
"ул. Ивантеевская, д. 1, к. 1",1950,муниципальный округ Богородское
"ул. Ивантеевская, д. 7/20",1954,муниципальный округ Богородское
"ул. Ивантеевская, д. 13",1954,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 22, к. 3",1955,муниципальный округ Богородское
"ул. Мясниковская 1-я, д. 8/10",1955,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 22",1955,муниципальный округ Богородское
"ул. Бойцовая, д. 29",1956,муниципальный округ Богородское
"ул. Миллионная, д. 12",1956,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 24",1956,муниципальный округ Богородское
"ул. Ивантеевская, д. 11",1957,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4А, к. 1",1957,муниципальный округ Богородское
"ул. Ивантеевская, д. 17, к. 2",1957,муниципальный округ Богородское
"ул. Ивантеевская, д. 3, к. 2",1957,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 39, к. 6",1958,муниципальный округ Богородское
"пер. Алымов, д. 13",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 17, к. 2",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 39, к. 4",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 39, к. 2",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 43, к. 4",1958,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 18",1958,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 18Б",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 43, к. 6",1958,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4А, к. 10",1958,муниципальный округ Богородское
"ул. Ивантеевская, д. 19",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 22, к. 1",1958,муниципальный округ Богородское
"ул. Ивантеевская, д. 2а",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 39, к. 3",1958,муниципальный округ Богородское
"аллея. Яузская, д. 6",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 4/37, к. 4",1958,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 16а",1958,муниципальный округ Богородское
"ул. Ивантеевская, д. 1, к. 2",1958,муниципальный округ Богородское
"ул. Ивантеевская, д. 23",1958,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 1",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 4/37, к. 3",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 22, к. 5",1958,муниципальный округ Богородское
"ул. Миллионная, д. 10",1958,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 16",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 24, к. 4",1958,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4А, к. 2",1958,муниципальный округ Богородское
"ул. Ивантеевская, д. 17, к. 1",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 22, к. 2",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 24, к. 1",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 15",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 4/37, к. 5",1958,муниципальный округ Богородское
"ул. Гражданская 3-я, д. 70",1958,муниципальный округ Богородское
"ул. Детская, д. 14",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 39, к. 5",1958,муниципальный округ Богородское
"ул. Богатырская 3-я, д. 14",1958,муниципальный округ Богородское
"ул. Бойцовая, д. 13, к. 1",1958,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 43, к. 3",1959,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 3",1959,муниципальный округ Богородское
"ул. Гражданская 3-я, д. 58А",1959,муниципальный округ Богородское
"пер. Алымов, д. 17, к. 2",1959,муниципальный округ Богородское
"ул. Бойцовая, д. 19",1959,муниципальный округ Богородское
"ул. Бойцовая, д. 18, к. 5",1959,муниципальный округ Богородское
"ул. Ивантеевская, д. 32, к. 2",1959,муниципальный округ Богородское
"ул. Бойцовая, д. 4/37, к. 2",1959,муниципальный округ Богородское
"ул. Бойцовая, д. 24, к. 3",1959,муниципальный округ Богородское
"ул. Ивантеевская, д. 16/18",1959,муниципальный округ Богородское
"ул. Бойцовая, д. 18, к. 4",1959,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 43, к. 1",1959,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 37, к. 1",1959,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 2",1959,муниципальный округ Богородское
"ш. Открытое, д. 1, к. 12",1959,муниципальный округ Богородское
"ул. Бойцовая, д. 13, к. 2",1959,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 7, к. 4",1959,муниципальный округ Богородское
"ул. Ивантеевская, д. 21",1959,муниципальный округ Богородское
"ул. Ивантеевская, д. 30, к. 2",1959,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 37, к. 2",1959,муниципальный округ Богородское
"ул. Бойцовая, д. 23",1959,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 18А",1959,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4А, к. 3",1959,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 43, к. 7",1959,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4А, к. 4",1959,муниципальный округ Богородское
"ул. Бойцовая, д. 24, к. 2",1959,муниципальный округ Богородское
"ул. Глебовская, д. 16",1959,муниципальный округ Богородское
"ул. Ивантеевская, д. 32, к. 3",1959,муниципальный округ Богородское
"ул. Глебовская, д. 10",1959,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 39, к. 1",1959,муниципальный округ Богородское
"пер. Алымов, д. 17, к. 1",1959,муниципальный округ Богородское
"ул. Гражданская 3-я, д. 58",1959,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 43, к. 2",1959,муниципальный округ Богородское
"ш. Открытое, д. 1, к. 4",1960,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 16Б",1960,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 35",1960,муниципальный округ Богородское
"ш. Открытое, д. 1, к. 11",1960,муниципальный округ Богородское
"ул. Миллионная, д. 10А",1960,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 1",1960,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 11",1960,муниципальный округ Богородское
"ул. Гражданская 3-я, д. 54",1960,муниципальный округ Богородское
"ш. Открытое, д. 3, к. 13",1960,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 3",1960,муниципальный округ Богородское
"ш. Открытое, д. 3, к. 10",1960,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 14, к. 3",1960,муниципальный округ Богородское
"ул. Глебовская, д. 10А",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 18, к. 12",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 18, к. 8",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 6, к. 6",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 18, к. 13",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 22, к. 4",1960,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 12",1960,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 10",1960,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 18",1960,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 22/23",1960,муниципальный округ Богородское
"ул. Ивантеевская, д. 11Б",1960,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 14",1960,муниципальный округ Богородское
"ул. Ивантеевская, д. 28, к. 3",1960,муниципальный округ Богородское
"ш. Открытое, д. 1, к. 3",1960,муниципальный округ Богородское
"ш. Открытое, д. 1, к. 5",1960,муниципальный округ Богородское
"ул. Ивантеевская, д. 2, к. 4",1960,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 12",1960,муниципальный округ Богородское
"аллея. Яузская, д. 4",1960,муниципальный округ Богородское
"ул. Богатырская 3-я, д. 21",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 6, к. 1",1960,муниципальный округ Богородское
"ул. Ивантеевская, д. 28, к. 2",1960,муниципальный округ Богородское
"ул. Гражданская 1-я, д. 101",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 18, к. 14",1960,муниципальный округ Богородское
"проезд. Подбельского 5-й, д. 4А, к. 5",1960,муниципальный округ Богородское
"ул. Ивантеевская, д. 28, к. 1",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 18, к. 9",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 17, к. 1",1960,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 37, к. 1",1960,муниципальный округ Богородское
"ш. Открытое, д. 1, к. 8",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 6, к. 4",1960,муниципальный округ Богородское
"ул. Глебовская, д. 8а, к. 2",1960,муниципальный округ Богородское
"ш. Открытое, д. 3, к. 1",1960,муниципальный округ Богородское
"ш. Открытое, д. 3, к. 6",1960,муниципальный округ Богородское
"ул. Глебовская, д. 8А, к. 1",1960,муниципальный округ Богородское
"ул. Ивантеевская, д. 2б",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 18, к. 10",1960,муниципальный округ Богородское
"ул. Ивантеевская, д. 1, к. 4",1960,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 1, к. 1",1960,муниципальный округ Богородское
"ш. Открытое, д. 1, к. 10",1960,муниципальный округ Богородское
"ул. Гражданская 3-я, д. 52",1960,муниципальный округ Богородское
"ш. Открытое, д. 1, к. 7",1960,муниципальный округ Богородское
"ул. Бойцовая, д. 18, к. 11",1960,муниципальный округ Богородское
"ул. Ивантеевская, д. 30, к. 1",1960,муниципальный округ Богородское
"ул. Ивантеевская, д. 32, к. 1",1960,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 37, к. 2",1960,муниципальный округ Богородское
"ш. Открытое, д. 3, к. 5",1960,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 20/18, стр. 1",1961,муниципальный округ Богородское
"ул. Наримановская, д. 32",1961,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 2",1961,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 9",1961,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 13",1961,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 19/16",1961,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 6",1961,муниципальный округ Богородское
"ул. Мясниковская 1-я, д. 14",1961,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 9",1961,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 8",1961,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 11",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 14, к. 10",1961,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 4",1961,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 8, к. 4",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 10, к. 9",1961,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 3",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 10, к. 7",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 14, к. 8",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 14, к. 1",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 14, к. 7",1961,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 10",1961,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 20/18",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 10, к. 8",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 14, к. 6",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 17, к. 3",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 10, к. 3",1961,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 5",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 10, к. 1",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 10, к. 2",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 6, к. 2",1961,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 4",1961,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 6",1961,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 7",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 6, к. 3",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 10, к. 4",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 10, к. 6",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 14, к. 4",1961,муниципальный округ Богородское
"ш. Открытое, д. 3, к. 7",1961,муниципальный округ Богородское
"ул. Бойцовая, д. 14, к. 2",1961,муниципальный округ Богородское
"ул. Ивантеевская, д. 15, к. 2",1961,муниципальный округ Богородское
"ш. Открытое, д. 5, к. 8",1961,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 2/3",1961,муниципальный округ Богородское
"ул. Ивантеевская, д. 15, к. 1",1961,муниципальный округ Богородское
"ш. Открытое, д. 3, к. 4",1961,муниципальный округ Богородское
"ш. Открытое, д. 3, к. 11",1961,муниципальный округ Богородское
"ш. Открытое, д. 3, к. 12",1961,муниципальный округ Богородское
"ш. Открытое, д. 3, к. 9",1961,муниципальный округ Богородское
"ул. Ивантеевская, д. 1, к. 3",1961,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 9",1961,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 17",1962,муниципальный округ Богородское
"ш. Открытое, д. 1, к. 2",1962,муниципальный округ Богородское
"ул. Глебовская, д. 12",1962,муниципальный округ Богородское
"ул. Ивантеевская, д. 20",1962,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 4",1962,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 32",1962,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 7",1962,муниципальный округ Богородское
"ул. Ивантеевская, д. 3, к. 5",1962,муниципальный округ Богородское
"ул. Бойцовая, д. 22, к. 6",1962,муниципальный округ Богородское
"ул. Бойцовая, д. 18, к. 2",1962,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 6",1962,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 9",1962,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 8",1962,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 3",1962,муниципальный округ Богородское
"ул. Ивантеевская, д. 28, к. 5",1962,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 5",1962,муниципальный округ Богородское
"проезд. Подбельского 3-й, д. 14, к. 2",1962,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 2",1962,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 5",1962,муниципальный округ Богородское
"ул. Бойцовая, д. 14, к. 3",1962,муниципальный округ Богородское
"ул. Бойцовая, д. 11",1962,муниципальный округ Богородское
"ул. Мясниковская 1-я, д. 14А",1963,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 25",1963,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 13",1963,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 7",1963,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 34, к. 1",1963,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 23",1963,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 8, к. 1",1963,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 10",1963,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 4",1963,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 7, к. 3",1963,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 43, к. 5",1963,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 7, к. 2",1963,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 27/20",1963,муниципальный округ Богородское
"ул. Ивантеевская, д. 28, к. 4",1963,муниципальный округ Богородское
"ул. Ивантеевская, д. 3, к. 4",1963,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 8, к. 3",1963,муниципальный округ Богородское
"ул. Глебовская, д. 1",1964,муниципальный округ Богородское
"проезд. Погонный, д. 2",1964,муниципальный округ Богородское
"ул. Игральная, д. 1, к. 1",1964,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 29/13",1964,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 28/14",1964,муниципальный округ Богородское
"ул. Ивантеевская, д. 3, к. 3",1964,муниципальный округ Богородское
"ул. Игральная, д. 1, к. 2",1964,муниципальный округ Богородское
"проезд. Погонный, д. 52",1964,муниципальный округ Богородское
"ул. Игральная, д. 4",1964,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 7, к. 1",1964,муниципальный округ Богородское
"ул. Игральная, д. 1, к. 4",1964,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 34, к. 2",1964,муниципальный округ Богородское
"проезд. Погонный, д. 48",1964,муниципальный округ Богородское
"ул. Игральная, д. 6, к. 2",1964,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 1",1964,муниципальный округ Богородское
"ул. Игральная, д. 1, к. 3",1964,муниципальный округ Богородское
"проезд. Погонный, д. 4",1965,муниципальный округ Богородское
"ул. Токарная, д. 12",1965,муниципальный округ Богородское
"ул. Глебовская, д. 7",1965,муниципальный округ Богородское
"ул. Бойцовая, д. 2/30",1965,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 8, к. 2",1965,муниципальный округ Богородское
"ул. Глебовская, д. 4",1965,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 34, к. 3",1965,муниципальный округ Богородское
"ул. Глебовская, д. 9",1965,муниципальный округ Богородское
"ул. Глебовская, д. 5",1965,муниципальный округ Богородское
"ул. Кузнецовская, д. 7",1965,муниципальный округ Богородское
"ул. Глебовская, д. 3, к. 2",1965,муниципальный округ Богородское
"ул. Наримановская, д. 26, к. 2",1965,муниципальный округ Богородское
"ул. Наримановская, д. 25, к. 1",1965,муниципальный округ Богородское
"ул. Игральная, д. 6, к. 1",1965,муниципальный округ Богородское
"ул. Глебовская, д. 2",1965,муниципальный округ Богородское
"ул. Наримановская, д. 26, к. 1",1965,муниципальный округ Богородское
"проезд. Погонный, д. 50, к. 1",1966,муниципальный округ Богородское
"ул. Мясниковская 1-я, д. 20",1966,муниципальный округ Богородское
"ул. Наримановская, д. 27",1966,муниципальный округ Богородское
"ул. Наримановская, д. 34",1966,муниципальный округ Богородское
"ул. Наримановская, д. 15",1966,муниципальный округ Богородское
"ул. Глебовская, д. 3, к. 1",1966,муниципальный округ Богородское
"ул. Глебовская, д. 11",1966,муниципальный округ Богородское
"ул. Наримановская, д. 25, к. 3",1966,муниципальный округ Богородское
"ул. Наримановская, д. 25, к. 2",1966,муниципальный округ Богородское
"ул. Наримановская, д. 23",1966,муниципальный округ Богородское
"проезд. Погонный, д. 50",1966,муниципальный округ Богородское
"ул. Ивантеевская, д. 6",1966,муниципальный округ Богородское
"ул. Прогонная 2-я, д. 10",1966,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 30",1966,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 32",1967,муниципальный округ Богородское
"проезд. Погонный, д. 6",1967,муниципальный округ Богородское
"ул. Мясниковская 1-я, д. 18",1967,муниципальный округ Богородское
"ул. Наримановская, д. 21",1967,муниципальный округ Богородское
"ул. Наримановская, д. 19",1967,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 33/12",1967,муниципальный округ Богородское
"ул. Наримановская, д. 17",1967,муниципальный округ Богородское
"ул. Игральная, д. 10",1967,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 10",1967,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 11",1967,муниципальный округ Богородское
"ул. Ивантеевская, д. 8",1968,муниципальный округ Богородское
"ул. Черкизовская М., д. 64",1968,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 38",1968,муниципальный округ Богородское
"ул. Ивантеевская, д. 1, к. 6",1968,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 39/22",1968,муниципальный округ Богородское
"ул. Миллионная, д. 8, к. 2",1968,муниципальный округ Богородское
"ул. Наримановская, д. 13",1968,муниципальный округ Богородское
"проезд. Погонный, д. 8",1968,муниципальный округ Богородское
"ул. Миллионная, д. 8, к. 1",1968,муниципальный округ Богородское
"ул. Ивантеевская, д. 10",1968,муниципальный округ Богородское
"ул. Гражданская 3-я, д. 6",1968,муниципальный округ Богородское
"ул. Гражданская 1-я, д. 97",1968,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 36/1",1969,муниципальный округ Богородское
"ул. Ивантеевская, д. 4, к. 2",1969,муниципальный округ Богородское
"ул. Гражданская 3-я, д. 2",1969,муниципальный округ Богородское
"ул. Прогонная 2-я, д. 7",1969,муниципальный округ Богородское
"проезд. Погонный, д. 1, к. 11",1969,муниципальный округ Богородское
"ул. Гражданская 1-я, д. 99, к. 2",1969,муниципальный округ Богородское
"проезд. Погонный, д. 23, к. 1",1969,муниципальный округ Богородское
"проезд. Погонный, д. 25",1969,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 42",1969,муниципальный округ Богородское
"ул. Гражданская 1-я, д. 95",1969,муниципальный округ Богородское
"ул. Гражданская 1-я, д. 99, к. 1",1969,муниципальный округ Богородское
"проезд. Погонный, д. 23, к. 3",1969,муниципальный округ Богородское
"ул. Гражданская 3-я, д. 4",1969,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 21/21",1970,муниципальный округ Богородское
"ул. Игральная, д. 5",1970,муниципальный округ Богородское
"проезд. Погонный, д. 23, к. 2",1970,муниципальный округ Богородское
"ул. Миллионная, д. 8, к. 3",1970,муниципальный округ Богородское
"ул. Просторная, д. 9",1970,муниципальный округ Богородское
"ул. Краснобогатырская, д. 75, к. 2",1971,муниципальный округ Богородское
"ул. Наримановская, д. 22, к. 1",1971,муниципальный округ Богородское
"ул. Ивантеевская, д. 1, к. 5",1971,муниципальный округ Богородское
"ул. Просторная, д. 5",1971,муниципальный округ Богородское
"ул. Ивантеевская, д. 4, к. 1",1971,муниципальный округ Богородское
"ул. Миллионная, д. 13, к. 1",1971,муниципальный округ Богородское
"проезд. Погонный, д. 12",1971,муниципальный округ Богородское
"ул. Краснобогатырская, д. 77",1971,муниципальный округ Богородское
"проезд. Погонный, д. 33",1972,муниципальный округ Богородское
"ул. Миллионная, д. 13, к. 2",1972,муниципальный округ Богородское
"ул. Прогонная 2-я, д. 9",1972,муниципальный округ Богородское
"ул. Бойцовая, д. 21, к. 2",1972,муниципальный округ Богородское
"ул. Прогонная 2-я, д. 11",1973,муниципальный округ Богородское
"ш. Открытое, д. 6, к. 13",1973,муниципальный округ Богородское
"ул. Миллионная, д. 11, к. 1",1973,муниципальный округ Богородское
"ул. Краснобогатырская, д. 75, к. 1",1973,муниципальный округ Богородское
"ул. Краснобогатырская, д. 21",1974,муниципальный округ Богородское
"ул. Миллионная, д. 14",1974,муниципальный округ Богородское
"проезд. Погонный, д. 9",1974,муниципальный округ Богородское
"проезд. Подбельского 4-й, д. 2, к. 1",1974,муниципальный округ Богородское
"проезд. Погонный, д. 23, к. 4",1974,муниципальный округ Богородское
"ул. Гражданская 3-я, д. 54А",1974,муниципальный округ Богородское
"ул. Краснобогатырская, д. 25",1975,муниципальный округ Богородское
"ул. Краснобогатырская, д. 29",1975,муниципальный округ Богородское
"ул. Краснобогатырская, д. 27",1975,муниципальный округ Богородское
"ул. Краснобогатырская, д. 23",1975,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 40",1976,муниципальный округ Богородское
"ул. Краснобогатырская, д. 31, к. 1",1976,муниципальный округ Богородское
"ул. Ивантеевская, д. 2",1976,муниципальный округ Богородское
"ул. Краснобогатырская, д. 19, к. 3",1977,муниципальный округ Богородское
"ул. Краснобогатырская, д. 19, к. 1",1977,муниципальный округ Богородское
"ул. Миллионная, д. 11, к. 3",1977,муниципальный округ Богородское
"ул. Краснобогатырская, д. 31, к. 2",1977,муниципальный округ Богородское
"ул. Краснобогатырская, д. 19, к. 2",1978,муниципальный округ Богородское
"ул. Наримановская, д. 26, к. 3",1979,муниципальный округ Богородское
"проезд. Подбельского 4-й, д. 4, к. 2",1980,муниципальный округ Богородское
"ул. Наримановская, д. 22, к. 3",1981,муниципальный округ Богородское
"ул. Наримановская, д. 22, к. 2",1981,муниципальный округ Богородское
"ул. Глебовская, д. 6",1981,муниципальный округ Богородское
"ул. Миллионная, д. 11, к. 2",1982,муниципальный округ Богородское
"проезд. Погонный, д. 5, к. 3",1983,муниципальный округ Богородское
"ул. Черкизовская М., д. 66",1983,муниципальный округ Богородское
"проезд. Погонный, д. 5, к. 4",1985,муниципальный округ Богородское
"проезд. Погонный, д. 5, к. 5",1986,муниципальный округ Богородское
"ул. Игральная, д. 3",1987,муниципальный округ Богородское
"ул. Игральная, д. 7",1987,муниципальный округ Богородское
"проезд. Погонный, д. 5, к. 2",1987,муниципальный округ Богородское
"проезд. Погонный, д. 5, к. 1",1988,муниципальный округ Богородское
"ул. Гражданская 3-я, д. 3",1991,муниципальный округ Богородское
"ул. Краснобогатырская, д. 79",1992,муниципальный округ Богородское
"проезд. Погонный, д. 3, к. 2",1992,муниципальный округ Богородское
"проезд. Погонный, д. 3, к. 3",1992,муниципальный округ Богородское
"проезд. Погонный, д. 7, к. 1",1993,муниципальный округ Богородское
"проезд. Погонный, д. 3, к. 1",1994,муниципальный округ Богородское
"проезд. Погонный, д. 7, к. 2",1996,муниципальный округ Богородское
"проезд. Погонный, д. 7, к. 3",1996,муниципальный округ Богородское
"проезд. Погонный, д. 11",1998,муниципальный округ Богородское
"проезд. Погонный, д. 3, к. 4",1998,муниципальный округ Богородское
"пер. Алымов, д. 4",1999,муниципальный округ Богородское
"ул. Ивантеевская, д. 9",1999,муниципальный округ Богородское
"ул. Ивантеевская, д. 3, к. 1",2001,муниципальный округ Богородское
"б-р. Маршала Рокоссовского, д. 39, к. 1",2002,муниципальный округ Богородское
"ул. Краснобогатырская, д. 11",2006,муниципальный округ Богородское
"ул. Детская, д. 19",2006,муниципальный округ Богородское
"ул. Краснобогатырская, д. 9",2007,муниципальный округ Богородское
"ул. Богатырская 3-я, д. 3",2007,муниципальный округ Богородское
"ул. Гражданская 4-я, д. 36",2007,муниципальный округ Богородское
"ул. Наримановская, д. 8",2008,муниципальный округ Богородское
